File: CAP_3_00_01_05_06_20.bin  (131072 bytes, 131072 samples)

   Index   Dec   Hex         Bin
     483    71    47  01000111
     484    71    47  01000111
     485    70    46  01000110
     486    70    46  01000110
     487    71    47  01000111
     488    71    47  01000111
     489    70    46  01000110
     490    70    46  01000110
     491    71    47  01000111
     492    71    47  01000111
     493    70    46  01000110
     494    70    46  01000110
     495    71    47  01000111
     496    71    47  01000111
     497    70    46  01000110
     498    70    46  01000110
     499    71    47  01000111
     500    71    47  01000111
     501    71    47  01000111
     502    71    47  01000111
     503    71    47  01000111
     504    71    47  01000111
     505    70    46  01000110
     506    70    46  01000110
     507    71    47  01000111
     508    71    47  01000111
     509    70    46  01000110
     510    71    47  01000111
     511    71    47  01000111
     512    71    47  01000111
     513    70    46  01000110
     514    70    46  01000110
     515    71    47  01000111
     516    71    47  01000111
     517    71    47  01000111
     518    70    46  01000110
     519    71    47  01000111
     520    71    47  01000111
     521    71    47  01000111
     522    70    46  01000110
     523    71    47  01000111
     524    71    47  01000111
     525    71    47  01000111
     526    70    46  01000110
     527    71    47  01000111
     528    71    47  01000111
     529    70    46  01000110
     530    70    46  01000110
     531    71    47  01000111
     532    71    47  01000111
     533    71    47  01000111
     534    71    47  01000111
     535    71    47  01000111
     536    71    47  01000111
     537    71    47  01000111
     538    70    46  01000110
     539    71    47  01000111
     540    71    47  01000111
     541    70    46  01000110
     542    71    47  01000111
     543    71    47  01000111
     544    71    47  01000111
     545    71    47  01000111
     546    70    46  01000110
     547    71    47  01000111
     548    71    47  01000111
     549    71    47  01000111
     550    71    47  01000111
     551    71    47  01000111
     552    71    47  01000111
     553    71    47  01000111
     554    70    46  01000110
     555    71    47  01000111
     556    71    47  01000111
     557    71    47  01000111
     558    71    47  01000111
     559    71    47  01000111
     560    71    47  01000111
     561    71    47  01000111
     562    70    46  01000110
     563    71    47  01000111
     564    71    47  01000111
     565    71    47  01000111
     566    71    47  01000111
     567    71    47  01000111
     568    71    47  01000111
     569    71    47  01000111
     570    71    47  01000111
     571    71    47  01000111
     572    71    47  01000111
     573    71    47  01000111
     574    71    47  01000111
     575    71    47  01000111
     576    71    47  01000111
     577    71    47  01000111
     578    70    46  01000110
     579    71    47  01000111
     580    71    47  01000111
     581    71    47  01000111
     582    71    47  01000111
     583    71    47  01000111
     584    71    47  01000111
     585    71    47  01000111
     586    71    47  01000111
     587    71    47  01000111
     588    71    47  01000111
     589    71    47  01000111
     590    71    47  01000111
     591    71    47  01000111
     592    71    47  01000111
     593    71    47  01000111
     594    71    47  01000111
     595    71    47  01000111
     596    71    47  01000111
     597    71    47  01000111
     598    71    47  01000111
     599    71    47  01000111
     600    71    47  01000111
     601    71    47  01000111
     602    70    46  01000110
     603    71    47  01000111
     604    71    47  01000111
     605    71    47  01000111
     606    71    47  01000111
     607    71    47  01000111
     608    71    47  01000111
     609    71    47  01000111
     610    71    47  01000111
     611    71    47  01000111
     612    71    47  01000111
     613    71    47  01000111
     614    71    47  01000111
     615    71    47  01000111
     616    71    47  01000111
     617    71    47  01000111
     618    70    46  01000110
     619    71    47  01000111
     620    71    47  01000111
     621    71    47  01000111
     622    71    47  01000111
     623    71    47  01000111
     624    71    47  01000111
     625    71    47  01000111
     626    70    46  01000110
     627    71    47  01000111
     628    71    47  01000111
     629    71    47  01000111
     630    71    47  01000111
     631    71    47  01000111
     632    71    47  01000111
     633    71    47  01000111
     634    71    47  01000111
     635    71    47  01000111
     636    71    47  01000111
     637    71    47  01000111
     638    71    47  01000111
     639    71    47  01000111
     640    71    47  01000111
     641    71    47  01000111
     642    71    47  01000111
     643    71    47  01000111
     644    71    47  01000111
     645    71    47  01000111
     646    71    47  01000111
     647    71    47  01000111
     648    71    47  01000111
     649    71    47  01000111
     650    71    47  01000111
     651    71    47  01000111
     652    71    47  01000111
     653    71    47  01000111
     654    71    47  01000111
     655    71    47  01000111
     656    71    47  01000111
     657    71    47  01000111
     658    71    47  01000111
     659    71    47  01000111
     660    71    47  01000111
     661    71    47  01000111
     662    71    47  01000111
     663    71    47  01000111
     664    71    47  01000111
     665    71    47  01000111
     666    70    46  01000110
     667    71    47  01000111
     668    71    47  01000111
     669    71    47  01000111
     670    71    47  01000111
     671    71    47  01000111
     672    71    47  01000111
     673    71    47  01000111
     674    71    47  01000111
     675    71    47  01000111
     676    71    47  01000111
     677    71    47  01000111
     678    71    47  01000111
     679    71    47  01000111
     680    71    47  01000111
     681    70    46  01000110
     682    70    46  01000110
     683    71    47  01000111
     684    71    47  01000111
     685    71    47  01000111
     686    71    47  01000111
     687    71    47  01000111
     688    71    47  01000111
     689    70    46  01000110
     690    70    46  01000110
     691    71    47  01000111
     692    71    47  01000111
     693    71    47  01000111
     694    71    47  01000111
     695    71    47  01000111
     696    71    47  01000111
     697    70    46  01000110
     698    70    46  01000110
     699    71    47  01000111
     700    71    47  01000111
     701    71    47  01000111
     702    71    47  01000111
     703    71    47  01000111
     704    71    47  01000111
     705    71    47  01000111
     706    70    46  01000110
     707    71    47  01000111
     708    71    47  01000111
     709    71    47  01000111
     710    70    46  01000110
     711    71    47  01000111
     712    71    47  01000111
     713    71    47  01000111
     714    70    46  01000110
     715    71    47  01000111
     716    71    47  01000111
     717    71    47  01000111
     718    70    46  01000110
     719    71    47  01000111
     720    71    47  01000111
     721    71    47  01000111
     722    71    47  01000111
     723    71    47  01000111
     724    71    47  01000111
     725    71    47  01000111
