File: CAP_5_00_00_13_53_56.bin  (131072 bytes, 131072 samples)

   Index   Dec   Hex         Bin
     414    68    44  01000100
     415    68    44  01000100
     416    68    44  01000100
     417    68    44  01000100
     418    68    44  01000100
     419    69    45  01000101
     420    68    44  01000100
     421    68    44  01000100
     422    68    44  01000100
     423    69    45  01000101
     424    68    44  01000100
     425    68    44  01000100
     426    68    44  01000100
     427    69    45  01000101
     428    68    44  01000100
     429    68    44  01000100
     430    68    44  01000100
     431    69    45  01000101
     432    68    44  01000100
     433    68    44  01000100
     434    68    44  01000100
     435    69    45  01000101
     436    68    44  01000100
     437    68    44  01000100
     438    68    44  01000100
     439    68    44  01000100
     440    68    44  01000100
     441    68    44  01000100
     442    68    44  01000100
     443    69    45  01000101
     444    68    44  01000100
     445    68    44  01000100
     446    68    44  01000100
     447    69    45  01000101
     448    68    44  01000100
     449    68    44  01000100
     450    68    44  01000100
     451    69    45  01000101
     452    68    44  01000100
     453    68    44  01000100
     454    68    44  01000100
     455    69    45  01000101
     456    68    44  01000100
     457    68    44  01000100
     458    68    44  01000100
     459    69    45  01000101
     460    68    44  01000100
     461    68    44  01000100
     462    68    44  01000100
     463    68    44  01000100
     464    68    44  01000100
     465    68    44  01000100
     466    68    44  01000100
     467    69    45  01000101
     468    68    44  01000100
     469    68    44  01000100
     470    68    44  01000100
     471    69    45  01000101
     472    68    44  01000100
     473    68    44  01000100
     474    68    44  01000100
     475    69    45  01000101
     476    68    44  01000100
     477    68    44  01000100
     478    68    44  01000100
     479    69    45  01000101
     480    68    44  01000100
     481    68    44  01000100
     482    68    44  01000100
     483    69    45  01000101
     484    68    44  01000100
     485    68    44  01000100
     486    68    44  01000100
     487    68    44  01000100
     488    68    44  01000100
     489    68    44  01000100
     490    68    44  01000100
     491    69    45  01000101
     492    68    44  01000100
     493    68    44  01000100
     494    68    44  01000100
     495    69    45  01000101
     496    68    44  01000100
     497    68    44  01000100
     498    68    44  01000100
     499    69    45  01000101
     500    68    44  01000100
     501    68    44  01000100
     502    68    44  01000100
     503    68    44  01000100
     504    68    44  01000100
     505    68    44  01000100
     506    68    44  01000100
     507    69    45  01000101
     508    68    44  01000100
     509    68    44  01000100
     510    68    44  01000100
     511    69    45  01000101
     512    68    44  01000100
     513    68    44  01000100
     514    68    44  01000100
     515    69    45  01000101
     516    68    44  01000100
     517    68    44  01000100
     518    68    44  01000100
     519    69    45  01000101
     520    68    44  01000100
     521    68    44  01000100
     522    68    44  01000100
     523    69    45  01000101
     524    68    44  01000100
     525    68    44  01000100
     526    68    44  01000100
     527    69    45  01000101
     528    68    44  01000100
     529    68    44  01000100
     530    68    44  01000100
     531    69    45  01000101
     532    68    44  01000100
     533    68    44  01000100
     534    68    44  01000100
     535    69    45  01000101
     536    68    44  01000100
     537    68    44  01000100
     538    68    44  01000100
     539    69    45  01000101
     540    68    44  01000100
     541    68    44  01000100
     542    68    44  01000100
     543    69    45  01000101
     544    68    44  01000100
     545    68    44  01000100
     546    68    44  01000100
     547    69    45  01000101
     548    68    44  01000100
     549    68    44  01000100
     550    68    44  01000100
     551    68    44  01000100
     552    68    44  01000100
     553    68    44  01000100
     554    68    44  01000100
     555    69    45  01000101
     556    68    44  01000100
     557    68    44  01000100
     558    68    44  01000100
     559    68    44  01000100
     560    68    44  01000100
     561    68    44  01000100
     562    68    44  01000100
     563    69    45  01000101
     564    68    44  01000100
     565    68    44  01000100
     566    68    44  01000100
     567    69    45  01000101
     568    68    44  01000100
     569    68    44  01000100
     570    68    44  01000100
     571    69    45  01000101
     572    68    44  01000100
     573    68    44  01000100
     574    68    44  01000100
     575    69    45  01000101
     576    68    44  01000100
     577    68    44  01000100
     578    68    44  01000100
     579    69    45  01000101
     580    68    44  01000100
     581    68    44  01000100
     582    68    44  01000100
     583    68    44  01000100
     584    68    44  01000100
     585    68    44  01000100
     586    68    44  01000100
     587    69    45  01000101
     588    68    44  01000100
     589    68    44  01000100
     590    68    44  01000100
     591    69    45  01000101
     592    68    44  01000100
     593    68    44  01000100
     594    68    44  01000100
     595    69    45  01000101
     596    68    44  01000100
     597    68    44  01000100
     598    68    44  01000100
     599    69    45  01000101
     600    68    44  01000100
     601    68    44  01000100
     602    68    44  01000100
     603    69    45  01000101
     604    68    44  01000100
     605    68    44  01000100
     606    68    44  01000100
     607    69    45  01000101
     608    68    44  01000100
     609    68    44  01000100
     610    68    44  01000100
     611    69    45  01000101
     612    68    44  01000100
     613    68    44  01000100
     614    68    44  01000100
     615    69    45  01000101
     616    68    44  01000100
     617    68    44  01000100
     618    68    44  01000100
     619    69    45  01000101
     620    68    44  01000100
     621    68    44  01000100
     622    68    44  01000100
     623    69    45  01000101
     624    68    44  01000100
     625    68    44  01000100
     626    68    44  01000100
     627    69    45  01000101
     628    68    44  01000100
     629    68    44  01000100
     630    68    44  01000100
     631    69    45  01000101
     632    68    44  01000100
     633    68    44  01000100
     634    68    44  01000100
     635    69    45  01000101
     636    68    44  01000100
